canonical_item_id,source,object_type,object_subtype,type_name,market_hash_name,item_name,weapon_type,weapon_family,weapon_name,skin_name,wear,rarity,collection,is_stattrak,is_souvenir,listing_id,asset_id,sample_price,sample_currency,raw_type
container__antwerp_2022_nuke_souvenir_package,csgo_api_reference,container,Souvenir,Souvenir,Antwerp 2022 Nuke Souvenir Package,Antwerp 2022 Nuke Souvenir Package,,,,,,Base Grade,,False,False,crate-4840,4840,,,Souvenir
container__antwerp_2022_overpass_souvenir_package,csgo_api_reference,container,Souvenir,Souvenir,Antwerp 2022 Overpass Souvenir Package,Antwerp 2022 Overpass Souvenir Package,,,,,,Base Grade,,False,False,crate-4838,4838,,,Souvenir
container__antwerp_2022_vertigo_souvenir_package,csgo_api_reference,container,Souvenir,Souvenir,Antwerp 2022 Vertigo Souvenir Package,Antwerp 2022 Vertigo Souvenir Package,,,,,,Base Grade,,False,False,crate-4841,4841,,,Souvenir
container__anubis_collection_package,csgo_api_reference,container,container,container,Anubis Collection Package,Anubis Collection Package,,,,,,Base Grade,,False,False,crate-4882,4882,,,
container__atlanta_2017_cache_souvenir_package,csgo_api_reference,container,Souvenir,Souvenir,Atlanta 2017 Cache Souvenir Package,Atlanta 2017 Cache Souvenir Package,,,,,,Base Grade,,False,False,crate-4348,4348,,,Souvenir
container__atlanta_2017_challengers_holofoil,csgo_api_reference,container,Sticker Capsule,Sticker Capsule,Atlanta 2017 Challengers (Holo-Foil),Atlanta 2017 Challengers (Holo/Foil),,,,,,Base Grade,,False,False,crate-4324,4324,,,Sticker Capsule
container__atlanta_2017_cobblestone_souvenir_package,csfloat,container,Container,Container,Atlanta 2017 Cobblestone Souvenir Package,Atlanta 2017 Cobblestone Souvenir Package,,,,,,Base Grade,,False,False,954610267797457731,8830030854,110000.0,USD,container
container__atlanta_2017_dust_ii_souvenir_package,csgo_api_reference,container,Souvenir,Souvenir,Atlanta 2017 Dust II Souvenir Package,Atlanta 2017 Dust II Souvenir Package,,,,,,Base Grade,,False,False,crate-4344,4344,,,Souvenir
container__atlanta_2017_legends_holofoil,csgo_api_reference,container,Sticker Capsule,Sticker Capsule,Atlanta 2017 Legends (Holo-Foil),Atlanta 2017 Legends (Holo/Foil),,,,,,Base Grade,,False,False,crate-4323,4323,,,Sticker Capsule
container__atlanta_2017_mirage_souvenir_package,csgo_api_reference,container,Souvenir,Souvenir,Atlanta 2017 Mirage Souvenir Package,Atlanta 2017 Mirage Souvenir Package,,,,,,Base Grade,,False,False,crate-4345,4345,,,Souvenir
container__atlanta_2017_nuke_souvenir_package,csgo_api_reference,container,Souvenir,Souvenir,Atlanta 2017 Nuke Souvenir Package,Atlanta 2017 Nuke Souvenir Package,,,,,,Base Grade,,False,False,crate-4350,4350,,,Souvenir
container__atlanta_2017_overpass_souvenir_package,csgo_api_reference,container,Souvenir,Souvenir,Atlanta 2017 Overpass Souvenir Package,Atlanta 2017 Overpass Souvenir Package,,,,,,Base Grade,,False,False,crate-4347,4347,,,Souvenir
container__atlanta_2017_train_souvenir_package,csgo_api_reference,container,Souvenir,Souvenir,Atlanta 2017 Train Souvenir Package,Atlanta 2017 Train Souvenir Package,,,,,,Base Grade,,False,False,crate-4349,4349,,,Souvenir
container__audience_participation_parcel,csgo_api_reference,container,container,container,Audience Participation Parcel,Audience Participation Parcel,,,,,,Base Grade,,False,False,crate-1215,1215,,,
